D00763_at,D14662_at,D42041_at,D45248_at,D50310_at,D80004_at,D85815_at,D87470_at,HG3514-HT3708_at,J03191_at,L06132_at,L25270_at,L36818_at,M16447_at,M20137_at,M31303_rna1_at,M75099_at,M83308_at,M93119_at,M93426_at,U07550_at,U16954_at,U17760_rna1_at,U51336_at,U79262_at,U79294_at,V01515_cds1_at,X00371_rna1_at,X04106_at,X52011_at,X54304_at,X76105_at,Z69915_at,D25304_at,L08895_at,D13631_s_at,M57464_s_at,X65784_s_at,U06155_at,U09087_s_at,Class
491.0,243.0,178.0,141.0,989.0,592.0,175.0,84.0,273.0,338.0,437.0,22.0,105.0,89.0,117.0,724.0,96.0,198.0,628.0,20,390.0,931.0,54.0,492.0,179.0,99.0,29.0,29.0,370.0,49.0,123.0,164.0,160.0,270.0,43.0,21.0,293.0,166.0,59.0,75.0,MED
350.0,228.0,103.0,84.0,1120.0,317.0,155.0,151.0,231.0,198.0,419.0,21.0,60.0,88.0,75.0,579.0,139.0,180.0,760.0,81.0,302.0,845.0,41.0,419.0,192.0,150.0,23.0,20,388.0,31.0,123.0,62.0,172.0,250.0,47.0,54.0,192.0,205.0,52.0,59.0,MED
378.0,185.0,182.0,201.0,1232.0,387.0,155.0,166.0,415.0,197.0,325.0,22.0,25.0,106.0,68.0,608.0,184.0,157.0,596.0,85.0,272.0,1107.0,39.0,238.0,215.0,86.0,25.0,20,482.0,39.0,125.0,80.0,184.0,140.0,20,20,73.0,238.0,41.0,62.0,MED
476.0,238.0,249.0,143.0,1132.0,312.0,136.0,106.0,335.0,365.0,474.0,21.0,55.0,78.0,101.0,619.0,181.0,146.0,825.0,40.0,378.0,1187.0,20,268.0,187.0,113.0,21.0,28.0,497.0,33.0,176.0,183.0,164.0,167.0,45.0,31.0,111.0,197.0,63.0,88.0,MED
326.0,173.0,200.0,177.0,1030.0,370.0,155.0,88.0,341.0,195.0,517.0,25.0,40.0,75.0,83.0,676.0,113.0,146.0,536.0,205.0,191.0,969.0,46.0,214.0,263.0,114.0,20.0,33.0,351.0,42.0,124.0,82.0,157.0,141.0,20,20,32.0,206.0,58.0,65.0,MED
337.0,138.0,191.0,174.0,814.0,278.0,134.0,169.0,432.0,73.0,366.0,21.0,34.0,102.0,24.0,651.0,139.0,173.0,471.0,71.0,245.0,1172.0,53.0,200.0,233.0,87.0,22.0,41.0,478.0,36.0,145.0,208.0,158.0,120.0,25.0,20,38.0,215.0,71.0,84.0,MED
311.0,279.0,128.0,199.0,703.0,281.0,143.0,83.0,416.0,64.0,359.0,26.0,61.0,52.0,99.0,751.0,114.0,190.0,165.0,97.0,423.0,1010.0,57.0,252.0,252.0,158.0,35.0,22.0,253.0,47.0,95.0,54.0,186.0,110.0,20,20,52.0,206.0,63.0,67.0,MED
151.0,52.0,118.0,42.0,1034.0,197.0,337.0,44.0,84.0,130.0,137.0,53.0,32.0,20,143.0,243.0,41.0,330.0,396.0,20,20,588.0,114.0,228.0,173.0,128.0,50.0,39.0,363.0,87.0,45.0,20,184.0,77.0,20,20,161.0,85.0,20,105.0,MED
65.0,52.0,104.0,27.0,1321.0,199.0,377.0,86.0,303.0,96.0,213.0,30.0,20,30.0,93.0,927.0,65.0,418.0,192.0,22.0,61.0,928.0,115.0,199.0,200.0,141.0,43.0,42.0,445.0,64.0,92.0,20,124.0,56.0,24.0,20,108.0,118.0,20,66.0,MED
171.0,113.0,116.0,21.0,716.0,291.0,344.0,35.0,212.0,269.0,191.0,41.0,31.0,35.0,165.0,927.0,76.0,427.0,213.0,28.0,20.0,469.0,101.0,277.0,154.0,124.0,51.0,41.0,444.0,68.0,20,20,159.0,109.0,20,20,315.0,72.0,22.0,64.0,MED
68.0,143.0,76.0,20,745.0,68.0,333.0,20,129.0,20,181.0,46.0,20,34.0,121.0,606.0,67.0,523.0,169.0,40.0,97.0,579.0,126.0,173.0,170.0,77.0,45.0,44.0,339.0,72.0,35.0,20,56.0,76.0,20,20,331.0,21.0,20,35.0,MED
93.0,57.0,94.0,87.0,956.0,320.0,334.0,70.0,190.0,133.0,147.0,20,20,44.0,149.0,871.0,56.0,355.0,536.0,25.0,20,1237.0,124.0,240.0,299.0,88.0,46.0,53.0,439.0,90.0,37.0,20,154.0,26.0,20,20,57.0,169.0,20,61.0,MED
68.0,37.0,90.0,90.0,984.0,314.0,260.0,41.0,137.0,90.0,250.0,42.0,20,45.0,102.0,1066.0,70.0,363.0,459.0,84.0,124.0,812.0,91.0,254.0,298.0,134.0,24.0,32.0,556.0,51.0,53.0,33.0,127.0,20,20,20,131.0,98.0,20,55.0,MED
63.0,98.0,132.0,42.0,1307.0,157.0,304.0,20.0,210.0,135.0,154.0,46.0,20,24.0,105.0,568.0,197.0,349.0,128.0,35.0,119.0,649.0,103.0,207.0,261.0,183.0,39.0,64.0,333.0,64.0,20,20,85.0,27.0,20,20,123.0,32.0,20,68.0,MED
156.0,132.0,195.0,201.0,571.0,55.0,292.0,51.0,338.0,878.0,286.0,32.0,109.0,32.0,123.0,466.0,195.0,261.0,20,30.0,293.0,70.0,68.0,207.0,131.0,170.0,32.0,46.0,1009.0,43.0,344.0,86.0,64.0,62.0,20,20,231.0,217.0,29.0,83.0,MED
132.0,112.0,165.0,39.0,2082.0,307.0,254.0,55.0,227.0,223.0,205.0,31.0,30.0,42.0,160.0,746.0,23.0,265.0,701.0,20,143.0,1032.0,49.0,302.0,215.0,111.0,22.0,38.0,398.0,50.0,57.0,50.0,396.0,87.0,20,20,277.0,88.0,20,90.0,MED
263.0,196.0,198.0,109.0,838.0,321.0,224.0,70.0,324.0,365.0,299.0,25.0,95.0,38.0,112.0,472.0,108.0,205.0,686.0,20,214.0,880.0,65.0,462.0,142.0,137.0,35.0,39.0,426.0,54.0,180.0,84.0,167.0,212.0,81.0,34.0,176.0,97.0,43.0,87.0,MED
245.0,151.0,170.0,82.0,1132.0,322.0,190.0,55.0,213.0,367.0,412.0,26.0,48.0,47.0,86.0,581.0,73.0,180.0,923.0,22.0,194.0,984.0,57.0,446.0,171.0,100.0,36.0,37.0,472.0,49.0,78.0,82.0,185.0,197.0,20,20,186.0,152.0,36.0,69.0,MED
201.0,170.0,200.0,114.0,1434.0,235.0,197.0,76.0,253.0,181.0,372.0,33.0,54.0,57.0,121.0,604.0,156.0,190.0,409.0,76.0,246.0,1159.0,52.0,262.0,185.0,131.0,38.0,43.0,334.0,42.0,51.0,27.0,166.0,120.0,20,20,119.0,85.0,32.0,104.0,MED
95.0,73.0,99.0,88.0,1479.0,296.0,267.0,52.0,214.0,305.0,246.0,45.0,24.0,34.0,80.0,908.0,118.0,305.0,899.0,46.0,209.0,1108.0,93.0,216.0,178.0,173.0,38.0,34.0,595.0,46.0,65.0,29.0,178.0,66.0,20,20,188.0,105.0,20,60.0,MED
114.0,125.0,113.0,149.0,1182.0,270.0,260.0,71.0,232.0,219.0,230.0,41.0,52.0,24.0,114.0,699.0,83.0,235.0,233.0,226.0,91.0,740.0,51.0,296.0,222.0,172.0,25.0,39.0,371.0,47.0,72.0,20,183.0,85.0,20,28.0,67.0,133.0,20,113.0,MED
64.0,104.0,90.0,36.0,957.0,278.0,297.0,40.0,216.0,28.0,200.0,42.0,22.0,29.0,97.0,964.0,20,335.0,597.0,22.0,179.0,1443.0,89.0,192.0,315.0,83.0,51.0,51.0,368.0,59.0,60.0,20,215.0,35.0,20,20,99.0,59.0,20,109.0,MED
92.0,91.0,72.0,25.0,1008.0,349.0,285.0,39.0,162.0,20,181.0,45.0,33.0,32.0,117.0,732.0,20,287.0,1000.0,45.0,123.0,808.0,73.0,199.0,120.0,391.0,45.0,42.0,307.0,67.0,46.0,20,140.0,66.0,20,20,73.0,25.0,23.0,109.0,MED
95.0,105.0,105.0,49.0,435.0,169.0,265.0,65.0,110.0,20,105.0,35.0,20,33.0,86.0,830.0,41.0,405.0,174.0,42.0,79.0,945.0,81.0,79.0,101.0,297.0,43.0,20,585.0,70.0,20,20,90.0,20,20,20,25.0,53.0,24.0,121.0,MED
78.0,65.0,94.0,25.0,569.0,415.0,249.0,20,250.0,113.0,179.0,49.0,30.0,20,106.0,1093.0,20,319.0,201.0,105.0,67.0,861.0,80.0,143.0,152.0,20,20,20,102.0,41.0,20,20,139.0,20,20,20,22.0,88.0,33.0,66.0,MED
204.0,153.0,257.0,120.0,831.0,173.0,190.0,100.0,297.0,122.0,303.0,36.0,59.0,75.0,140.0,515.0,116.0,167.0,686.0,166.0,142.0,981.0,62.0,169.0,259.0,85.0,42.0,48.0,304.0,45.0,86.0,56.0,278.0,111.0,20,20,77.0,72.0,52.0,28.0,MED
147.0,110.0,66.0,51.0,1030.0,65.0,253.0,32.0,135.0,274.0,234.0,27.0,27.0,42.0,147.0,634.0,100.0,306.0,126.0,43.0,308.0,378.0,64.0,275.0,186.0,170.0,45.0,26.0,175.0,81.0,48.0,20,109.0,205.0,34.0,20,690.0,48.0,26.0,31.0,MED
320.0,191.0,205.0,43.0,927.0,224.0,247.0,58.0,202.0,176.0,285.0,35.0,69.0,36.0,148.0,534.0,52.0,239.0,582.0,25.0,308.0,626.0,100.0,212.0,219.0,102.0,45.0,52.0,206.0,51.0,92.0,66.0,152.0,233.0,20,20,287.0,111.0,51.0,70.0,MED
127.0,135.0,108.0,100.0,996.0,387.0,274.0,104.0,372.0,237.0,231.0,40.0,36.0,40.0,113.0,830.0,122.0,195.0,534.0,114.0,70.0,1102.0,90.0,152.0,196.0,104.0,28.0,44.0,399.0,54.0,61.0,49.0,193.0,84.0,20,20,96.0,157.0,20,64.0,MED
131.0,203.0,273.0,131.0,713.0,183.0,263.0,76.0,271.0,155.0,193.0,38.0,72.0,48.0,133.0,467.0,112.0,224.0,481.0,20,122.0,387.0,73.0,124.0,111.0,160.0,52.0,40.0,247.0,63.0,71.0,93.0,160.0,136.0,20,20,130.0,154.0,49.0,52.0,MED
69.0,86.0,84.0,20,982.0,100.0,244.0,20,205.0,20,177.0,49.0,20,20,139.0,1106.0,22.0,261.0,133.0,88.0,64.0,682.0,36.0,84.0,147.0,379.0,20,26.0,526.0,68.0,58.0,20,162.0,47.0,20,36.0,26.0,75.0,20,74.0,MED
63.0,102.0,115.0,70.0,799.0,198.0,277.0,60.0,123.0,51.0,166.0,44.0,54.0,35.0,98.0,842.0,20,248.0,116.0,49.0,109.0,747.0,80.0,167.0,137.0,74.0,61.0,47.0,155.0,69.0,31.0,20,114.0,22.0,20,20,20,81.0,20,42.0,MED
254.0,215.0,221.0,141.0,1669.0,300.0,232.0,60.0,449.0,309.0,419.0,36.0,102.0,83.0,132.0,573.0,130.0,251.0,124.0,23.0,362.0,407.0,67.0,331.0,189.0,114.0,46.0,42.0,590.0,51.0,100.0,45.0,216.0,176.0,20,20,308.0,131.0,35.0,47.0,MED
70.0,41.0,113.0,47.0,883.0,418.0,273.0,67.0,178.0,112.0,116.0,49.0,45.0,44.0,83.0,576.0,65.0,325.0,554.0,20,144.0,699.0,67.0,168.0,148.0,109.0,26.0,64.0,248.0,58.0,33.0,40.0,149.0,214.0,20,20,268.0,131.0,20,39.0,MED
276.0,187.0,197.0,82.0,1243.0,320.0,229.0,92.0,214.0,106.0,329.0,39.0,90.0,89.0,126.0,696.0,88.0,244.0,1060.0,122.0,225.0,874.0,72.0,254.0,204.0,200.0,49.0,59.0,357.0,52.0,27.0,49.0,191.0,191.0,20,20,262.0,128.0,23.0,39.0,MED
220.0,134.0,148.0,96.0,1463.0,385.0,203.0,47.0,250.0,196.0,288.0,32.0,64.0,70.0,88.0,791.0,109.0,228.0,1142.0,20,255.0,872.0,69.0,329.0,208.0,86.0,43.0,40.0,303.0,44.0,77.0,108.0,122.0,180.0,20,20,210.0,164.0,55.0,72.0,MED
226.0,177.0,277.0,116.0,848.0,353.0,226.0,47.0,216.0,309.0,334.0,27.0,63.0,97.0,102.0,631.0,100.0,234.0,577.0,20,237.0,848.0,64.0,238.0,185.0,92.0,42.0,42.0,339.0,53.0,69.0,87.0,210.0,153.0,20,20,175.0,147.0,20.0,138.0,MED
100.0,116.0,137.0,94.0,1087.0,159.0,216.0,141.0,328.0,20,127.0,47.0,59.0,69.0,117.0,819.0,66.0,212.0,773.0,87.0,79.0,1069.0,71.0,156.0,171.0,129.0,41.0,44.0,496.0,65.0,62.0,108.0,222.0,98.0,59.0,20,41.0,169.0,41.0,38.0,MED
142.0,172.0,162.0,97.0,1150.0,258.0,248.0,35.0,356.0,126.0,334.0,39.0,35.0,50.0,113.0,751.0,53.0,262.0,332.0,72.0,230.0,786.0,69.0,106.0,200.0,95.0,46.0,37.0,398.0,52.0,126.0,20,250.0,163.0,20,20,206.0,87.0,20,63.0,MED
72.0,42.0,110.0,43.0,621.0,97.0,380.0,98.0,73.0,30.0,162.0,52.0,46.0,70.0,209.0,183.0,20,448.0,47.0,769.0,91.0,337.0,123.0,216.0,125.0,91.0,69.0,69.0,184.0,114.0,20,20,92.0,149.0,25.0,36.0,121.0,101.0,20,20,MGL
136.0,202.0,156.0,35.0,478.0,23.0,359.0,47.0,207.0,112.0,190.0,49.0,84.0,77.0,189.0,250.0,20,454.0,42.0,425.0,174.0,276.0,110.0,150.0,103.0,246.0,61.0,61.0,212.0,94.0,68.0,20,76.0,235.0,41.0,98.0,128.0,74.0,20,28.0,MGL
26.0,179.0,113.0,40.0,287.0,50.0,373.0,143.0,83.0,121.0,193.0,52.0,64.0,82.0,198.0,225.0,54.0,475.0,20,331.0,45.0,169.0,122.0,759.0,91.0,461.0,56.0,74.0,312.0,98.0,20,20,30.0,185.0,20,40.0,78.0,68.0,20,20,MGL
163.0,222.0,169.0,152.0,365.0,64.0,316.0,92.0,237.0,320.0,258.0,48.0,72.0,117.0,188.0,265.0,90.0,375.0,20,569.0,198.0,309.0,110.0,167.0,146.0,302.0,57.0,60.0,515.0,77.0,155.0,66.0,42.0,296.0,53.0,99.0,165.0,90.0,50.0,23.0,MGL
68.0,136.0,145.0,37.0,388.0,91.0,382.0,130.0,178.0,20,173.0,55.0,65.0,109.0,172.0,167.0,20,508.0,35.0,784.0,133.0,486.0,123.0,249.0,138.0,156.0,66.0,70.0,233.0,103.0,20,20,81.0,214.0,36.0,63.0,68.0,130.0,38.0,20,MGL
60.0,85.0,84.0,21.0,324.0,54.0,349.0,70.0,54.0,47.0,120.0,52.0,85.0,34.0,176.0,93.0,20,534.0,20,315.0,57.0,177.0,139.0,239.0,125.0,148.0,64.0,66.0,243.0,95.0,20,20,43.0,165.0,20,44.0,109.0,91.0,27.0,20,MGL
67.0,505.0,100.0,41.0,421.0,53.0,382.0,67.0,108.0,105.0,189.0,44.0,97.0,74.0,172.0,267.0,20,516.0,20,355.0,150.0,222.0,119.0,367.0,85.0,403.0,61.0,69.0,168.0,92.0,20,20,51.0,299.0,73.0,84.0,84.0,65.0,20,20,MGL
320.0,281.0,329.0,355.0,545.0,158.0,214.0,78.0,403.0,721.0,401.0,29.0,151.0,84.0,117.0,452.0,84.0,209.0,20,224.0,370.0,607.0,54.0,148.0,64.0,168.0,27.0,39.0,597.0,42.0,222.0,93.0,119.0,569.0,87.0,194.0,257.0,156.0,73.0,23.0,RHB
268.0,197.0,323.0,230.0,336.0,138.0,204.0,74.0,591.0,1132.0,497.0,36.0,116.0,37.0,124.0,275.0,146.0,236.0,20,508.0,405.0,108.0,53.0,107.0,102.0,142.0,37.0,26.0,688.0,45.0,415.0,85.0,63.0,165.0,20,20,281.0,130.0,58.0,20,RHB
397.0,340.0,339.0,412.0,396.0,114.0,216.0,74.0,458.0,924.0,472.0,36.0,142.0,40.0,90.0,395.0,100.0,226.0,20,20,389.0,211.0,59.0,96.0,109.0,104.0,45.0,36.0,689.0,46.0,395.0,72.0,86.0,178.0,20,20,307.0,157.0,65.0,21.0,RHB
285.0,312.0,347.0,394.0,629.0,164.0,198.0,67.0,553.0,881.0,560.0,29.0,256.0,101.0,128.0,508.0,44.0,185.0,20,20,390.0,455.0,58.0,96.0,132.0,104.0,63.0,33.0,663.0,35.0,356.0,57.0,42.0,180.0,20,20,303.0,229.0,60.0,21.0,RHB
425.0,329.0,436.0,384.0,644.0,91.0,183.0,67.0,457.0,754.0,569.0,29.0,143.0,58.0,108.0,515.0,165.0,211.0,20,45.0,663.0,261.0,52.0,146.0,110.0,104.0,38.0,27.0,697.0,38.0,353.0,76.0,58.0,209.0,20,20,283.0,180.0,45.0,51.0,RHB
489.0,292.0,376.0,429.0,619.0,138.0,147.0,61.0,505.0,1029.0,577.0,24.0,180.0,65.0,109.0,404.0,177.0,172.0,20,20,457.0,54.0,99.0,184.0,75.0,101.0,20,40.0,851.0,27.0,403.0,101.0,38.0,241.0,45.0,20,292.0,291.0,97.0,20,RHB
383.0,306.0,314.0,284.0,422.0,46.0,216.0,20,537.0,739.0,577.0,25.0,166.0,42.0,84.0,187.0,158.0,207.0,20,20,144.0,71.0,69.0,147.0,56.0,704.0,31.0,35.0,709.0,49.0,296.0,134.0,37.0,243.0,86.0,20,265.0,222.0,42.0,20,RHB
366.0,434.0,221.0,189.0,352.0,108.0,237.0,96.0,208.0,154.0,299.0,31.0,167.0,45.0,163.0,263.0,303.0,218.0,20,280.0,390.0,75.0,65.0,433.0,71.0,323.0,22.0,41.0,451.0,30.0,71.0,206.0,43.0,136.0,104.0,20,94.0,231.0,80.0,20,EPD
323.0,373.0,219.0,249.0,340.0,73.0,230.0,106.0,231.0,73.0,339.0,23.0,142.0,36.0,108.0,226.0,286.0,179.0,20,303.0,384.0,46.0,55.0,160.0,92.0,254.0,42.0,37.0,362.0,36.0,81.0,154.0,56.0,159.0,104.0,33.0,20,231.0,69.0,20,EPD
377.0,582.0,246.0,243.0,482.0,102.0,171.0,100.0,387.0,416.0,400.0,20,165.0,97.0,128.0,288.0,202.0,183.0,20,165.0,428.0,114.0,50.0,145.0,76.0,298.0,27.0,32.0,477.0,34.0,171.0,298.0,61.0,203.0,80.0,62.0,63.0,231.0,68.0,22.0,EPD
453.0,395.0,251.0,274.0,572.0,72.0,199.0,115.0,458.0,605.0,431.0,23.0,188.0,108.0,98.0,428.0,213.0,174.0,20,104.0,538.0,191.0,41.0,139.0,114.0,383.0,26.0,20.0,541.0,35.0,406.0,206.0,102.0,162.0,33.0,23.0,102.0,274.0,70.0,55.0,EPD
483.0,366.0,263.0,210.0,773.0,98.0,163.0,111.0,295.0,458.0,459.0,20,209.0,111.0,92.0,608.0,187.0,134.0,68.0,165.0,498.0,434.0,36.0,170.0,129.0,291.0,23.0,22.0,500.0,35.0,256.0,171.0,141.0,176.0,42.0,27.0,126.0,258.0,73.0,92.0,EPD
368.0,537.0,303.0,339.0,366.0,25.0,191.0,127.0,208.0,120.0,296.0,27.0,191.0,51.0,142.0,381.0,177.0,218.0,20,296.0,426.0,155.0,70.0,411.0,87.0,307.0,30.0,35.0,490.0,35.0,60.0,243.0,38.0,200.0,75.0,26.0,119.0,262.0,52.0,20,EPD
308.0,327.0,221.0,163.0,518.0,80.0,174.0,82.0,316.0,306.0,320.0,20,138.0,70.0,56.0,193.0,225.0,146.0,20,20,330.0,176.0,62.0,322.0,63.0,378.0,38.0,31.0,509.0,31.0,222.0,183.0,46.0,147.0,67.0,24.0,62.0,183.0,64.0,20,EPD
342.0,445.0,147.0,154.0,661.0,69.0,170.0,253.0,323.0,237.0,389.0,23.0,217.0,105.0,149.0,329.0,321.0,224.0,138.0,269.0,497.0,323.0,48.0,248.0,112.0,671.0,25.0,20.0,515.0,38.0,162.0,164.0,93.0,321.0,73.0,114.0,119.0,234.0,64.0,28.0,EPD
393.0,579.0,274.0,96.0,567.0,97.0,161.0,105.0,286.0,353.0,463.0,20,141.0,134.0,118.0,226.0,259.0,163.0,20,228.0,389.0,49.0,40.0,281.0,130.0,550.0,27.0,32.0,574.0,36.0,243.0,121.0,63.0,382.0,38.0,141.0,55.0,210.0,86.0,20,EPD
409.0,431.0,222.0,248.0,513.0,103.0,174.0,109.0,463.0,580.0,400.0,20,170.0,113.0,95.0,287.0,190.0,175.0,20,473.0,363.0,320.0,41.0,237.0,95.0,559.0,22.0,26.0,586.0,31.0,330.0,205.0,61.0,288.0,193.0,89.0,88.0,170.0,65.0,23.0,EPD
239.0,198.0,215.0,235.0,562.0,46.0,182.0,228.0,328.0,375.0,512.0,20.0,221.0,231.0,107.0,301.0,239.0,188.0,20,1035.0,340.0,335.0,57.0,626.0,87.0,976.0,21.0,32.0,534.0,39.0,191.0,132.0,52.0,686.0,113.0,329.0,88.0,219.0,82.0,20,JPA
297.0,309.0,221.0,181.0,526.0,34.0,177.0,266.0,290.0,246.0,467.0,20.0,240.0,253.0,95.0,343.0,238.0,195.0,20,872.0,293.0,352.0,54.0,678.0,89.0,911.0,20,35.0,516.0,39.0,179.0,118.0,47.0,766.0,108.0,365.0,62.0,226.0,63.0,20,JPA
250.0,249.0,209.0,160.0,515.0,43.0,223.0,227.0,295.0,257.0,433.0,23.0,199.0,228.0,118.0,277.0,230.0,210.0,20,874.0,270.0,329.0,63.0,593.0,74.0,857.0,24.0,43.0,487.0,42.0,148.0,101.0,66.0,656.0,119.0,331.0,66.0,180.0,66.0,20,JPA
316.0,294.0,173.0,193.0,549.0,38.0,213.0,235.0,390.0,292.0,467.0,20.0,243.0,220.0,111.0,256.0,231.0,239.0,20,997.0,328.0,313.0,59.0,590.0,66.0,781.0,21.0,31.0,649.0,39.0,176.0,117.0,76.0,799.0,123.0,396.0,83.0,229.0,73.0,20,JPA
171.0,285.0,163.0,163.0,600.0,51.0,228.0,220.0,355.0,259.0,354.0,24.0,237.0,233.0,101.0,271.0,216.0,251.0,20,1069.0,315.0,287.0,63.0,630.0,80.0,887.0,24.0,33.0,561.0,48.0,167.0,92.0,64.0,641.0,118.0,314.0,75.0,209.0,57.0,20,JPA
247.0,356.0,187.0,167.0,492.0,54.0,216.0,236.0,363.0,263.0,402.0,20,209.0,200.0,121.0,228.0,248.0,272.0,20,896.0,336.0,269.0,48.0,668.0,78.0,887.0,28.0,39.0,573.0,54.0,181.0,83.0,69.0,737.0,122.0,293.0,65.0,141.0,64.0,20,JPA
